,movie_cnt,movie_title,age,reviews,sent_number
5361,508번,Brave,8,i love this,1
5362,508번,Brave,8,This shows that even girls can be strong  This is about family and is a MUST for family movie nights,2
5363,508번,Brave,8,Because this movie is produced by Pixar its a lot better than any Disney Princess movie  The main character is strong and independent and an awesome role model  Unlike Disney movies there is no romance crap in the film  Plot is exciting and action filled the musical score is beautiful and overall great movie,4
5364,508번,Brave,8,My ratingPG13 for intense sequences of fantasy violence and disturbing sequences of action,1
5385,508번,Brave,7,Come on my 7 year old sister loved it she watched every Harry Potter too now she is 8  It is not scary I was laughing,2
5386,508번,Brave,7,Good movie  There is some violence with Meridas mom turning into a bear  Also a big demon bear is the scariest part  It comes and attacks the characters in three scenes  Positive messages Follow your heart and dont let others control you  Educational with learning about Scotland life in medieval times,6
5387,508번,Brave,7,Has mild scary scenes and a bear attack but in all has a good message about family,1
5388,508번,Brave,7,Hello This is my review on Brave  I will be telling the story also if I liked it or not  Hope this helps,4
5389,508번,Brave,7,Produced by Pixar and released by Walt Disney Pictures Brave is a story about a motherdaughter relationship  I have to admit that when we watched it in the cinema it was a little scary and there were some violence and some inappropriate content for young children therefore I think it is suitable for children ages at least 8  above but other than that it is a good movie with a strong and positive moral,2
5390,508번,Brave,7,I was nine years old when I saw this movie with my parents in the threatens in 3d and I almost had nightmares literally the scary bear action gave me the heebie newbies and I was scared of elinors bear transformation  And I even almost cried at the end of the movie overall it was good but it would scare some kids  Note not for little children,3
